source,total,translatable,multilingual,untranslatable,coverage,below_50
ai2-adapt-dev/tulu_v3.9_open_math_2_gsm8k_50k,50000,49987,1,12,0.9997,False
allenai/tulu-3-sft-personas-math-grade,49980,49891,29,60,0.9982,False
ai2-adapt-dev/personahub_code_v2_34999,34999,34880,0,119,0.9966,False
ai2-adapt-dev/tulu_v3.9_personahub_math_interm_algebra_20k,20000,19665,2,333,0.9832,False
ai2-adapt-dev/numinamath_tir_math_decontaminated,64312,61332,1,2979,0.9537,False
ai2-adapt-dev/evol_codealpaca_heval_decontaminated,107276,99597,24,7655,0.9284,False
ai2-adapt-dev/personahub_ifdata_manual_seed_v3_29980,29980,27633,1410,937,0.9217,False
ai2-adapt-dev/coconot_converted,10983,9990,106,887,0.9096,False
ai2-adapt-dev/personahub_math_v5_regen_149960,149960,135087,107,14766,0.9008,False
ai2-adapt-dev/tulu_v3.9_wildjailbreak_decontaminated_50k,50000,43878,303,5819,0.8776,False
ai2-adapt-dev/no_robots_converted,9500,8020,4,1476,0.8442,False
ai2-adapt-dev/flan_v2_converted,89982,64941,9839,15202,0.7217,False
ai2-adapt-dev/tulu_v3.9_synthetic_finalresp_wildguardmixtrain_decontaminated_50k,50000,25807,241,23952,0.5161,False
ai2-adapt-dev/oasst1_converted,7131,1959,4943,229,0.2747,True
ai2-adapt-dev/tulu_hard_coded_repeated_10,24000,0,1000,23000,0.0,False
ai2-adapt-dev/tulu_v3.9_aya_100k,100000,0,92580,7420,0.0,False
ai2-adapt-dev/tulu_v3.9_sciriff_10k,10000,0,0,10000,0.0,False
ai2-adapt-dev/tulu_v3.9_table_gpt_5k,5000,0,44,4956,0.0,False
ai2-adapt-dev/tulu_v3.9_wildchat_100k,100000,0,36502,63498,0.0,False
